 Category,Responsible Person,Publishing Date ,Platform (ENG/CN),Country,Blog Title ,Subtitle/Snippet (For Web),GD Image Link/Video Link,Related Mojo Website Case/Media for Cross Linking,INFLUENCERS,HASHTAGS,ENGLISH (Linkedin / FB)  - BITIC CHECK,ENGLISH (Instagram)  - BITIC CHECK,ENGLISH (Twitter)  - BITIC CHECK,CHINESE (SIMPLIFIED) - MAINLAND/SINGAPORE/MALAYSIA,CHINESE (TRADITIONAL) - TAIWAN/HK,SPANISH + CATALAN,JAPANESE
MOJO News,Pooja/Mihir/David,2020-4-1,FB/IG,Global,QingMing Festival Tomb Sweeping,,https://drive.google.com/drive/u/0/folders/1fLffc7J6e0YIYiyQvFoUS-oHHAX0XXOZ,,INSTAGRAM : @kerina_hsueh @cindy_xu3ejo3 @phoebe_foodaily @instameettaiwan FACEBOOK : @4foodies4girls @chiaofb @trickytaipei @EnchantedVagabond,#GlobalDigitalMOJO #MOJOacademy #tombsweeping #tradition #taiwan #ancestors #Chingingfestival ,"Families in China and Taiwan will honour their ancestors, clean their graves and make ritual on Tomb Sweeping Day. This tradition can be tracked back to the first emperor of China in 220BC. 
 
One of the well-known poems from Du Mu, expressed people's sadness about the Festival.

“Raindrops melt down on the day of Qingming, Passengers on the road appear like a broken soul. 
May I ask, where is the wine shop? The shepherd boy points at the distant Apricot Blossom Village”",,,,"中國和台灣的家庭會在清明節時祭祖，向先人供奉祭品，修葺墳墓。有慎終追遠、思念祖先，亦有「潔（清）淨（明）」之意。而在清明節祭祖的習俗，可以追溯到公元前220年，由中國第一位皇帝所設下的節日。

杜牧一首著名的詩，便道出了人們對清明節的愁懷。
“清明時節雨紛紛，路上行人欲斷魂。
借問酒家何處有？牧童遙指杏花村。” - 杜牧",,
MOJO News,Pooja/Mihir/David,2020-4-3,FB/LI/IG,Taiwan,Childrens Day at taiwan,,,https://www.globaldigitalmojo.com/portfolio/21st-century-kids-digital-creativity-pilot-workshop/,INSTAGRAM : @kerina_hsueh @cindy_xu3ejo3 @phoebe_foodaily @instameettaiwan FACEBOOK : @4foodies4girls @chiaofb @trickytaipei @EnchantedVagabond,"#GlobalDigitalMOJO #MOJOacademy 
#happychildrensday #taiwan #mindsofthefuture #disneyland ","Children carry the hopes for a brighter tomorrow and the dreams of a happier future, so it is our responsibility to nurture them right. In the end, they are the ones who are going to bring change to the world and make it a better place. We at MOJO believe in this, hence we try and create interesting workshops at our academy like the ""21st century kids"" https://www.globaldigitalmojo.com/portfolio/21st-century-kids-digital-creativity-pilot-workshop/ MOJO wishes all of the world’s children a Very Happy Children’s Day!

#GlobalDigitalMOJO #MOJOacademy 
#happychildrensday #taiwan #mindsofthefuture #disneyland 

@kerina_hsueh @cindy_xu3ejo3 @phoebe_foodaily @instameettaiwan",,,,,,
MOJO News,Pooja/Mihir/David,2020-4-10,FB/LI/IG,Global,Good friday,,https://drive.google.com/drive/u/1/folders/15ARVn2UYTlI0_a1V2bBL_WOfjLOz0-Nu,, Insta : @badalsaboo @thegulabigirl @martalozanop @kerina_hsueh @cindy_xu3ejo3       Facebook: @badalsaboo  @mymagicstoryinternational @thegulabigirl @martalozanop @4foodies4girls @chiaofb @trickytaipei,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #goodfriday,"On Good Friday, Christians commemorate Jesus Christ's crucifixion. So why is it called Good Friday? According to the Bible, the son of God was flogged, ordered to carry the cross on which he would be crucified and then put to death.The ""good"" is representation of the Holy day. It is also belived as Christ ""showed His great love for man, and purchased for him every blessing"".  Let this holy day be the inspiration for you to go forward and follow the light of redemption. Mojo wishes you a happy Good Friday.",,,,,,
MOJO News,Pooja/Mihir/David,2020-4-12,FB/LI/IG,"Mexico, Spain, HK, India",Easter,,https://drive.google.com/drive/u/1/folders/14u-Kt-N4E0DBVkig6nw2EJwie_k4vFyJ,, Insta : @badalsaboo @thegulabigirl @martalozanop @kerina_hsueh @cindy_xu3ejo3       Facebook: @badalsaboo  @mymagicstoryinternational @thegulabigirl @martalozanop @4foodies4girls @chiaofb @trickytaipei,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #happyeaster #eastereggs #easterbunny,"Easter is a Christian festival which celebrates the resurrection of Jesus Christ.On this auspicious day of Easter, may it be a new beginning of greater prosperity, success & happiness. MOJO wishes you a Happy Easter ",,,,,,
MOJO Think,Atsuko/Pooja/Carly,Till 2020/4/12,WEB,Japan,FIND YOUR MOJO Vol 1: MOJO In Japan,,https://drive.google.com/drive/u/1/folders/1m1g99xXehQ2H-bcux382Hk93d5jow04p,Linke to MOJO press/Think,,,"Explore the first installment of ""Find Your MOJO"" A series with a mixture of Media, News, Blogs, Articles, Animation and more offering you insights into the world of MOJO. In this first Vol. take a trip with us to Osaka, Japan and journey with us to discover MOJO's past and vision for the future for businesses in Japan in 2020.  ",,,,,,"第一回Find your MOJOをWebで更新しました。
お見逃しなく!
<url of Web>
日本での展開理由、2020年のMOJOのプランについてはこちら!>MOJO THINK links"
MOJO Think,Atsuko/Pooja/Carly,2020-4-13,FB/LI/IG,Japan,FIND YOUR MOJO Vol 1: MOJO In Japan,,https://drive.google.com/drive/u/1/folders/1m1g99xXehQ2H-bcux382Hk93d5jow04p,https://www.globaldigitalmojo.com/find-your-mojo-vol-1-mojo-in-japan/,@techinasia @linustech @spatialflow @techablejp,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #japan,"Explore the first installment of ""Find Your MOJO"" A series with a mixture of Media, News, Blogs, Articles, Animation and more offering you insights into the world of MOJO. In this first Vol. take a trip with us to Osaka, Japan and journey with us to discover MOJO's past and vision for the future for businesses in Japan in 2020.  ",,,,,,"第一回Find your MOJOをWebで更新しました。
お見逃しなく!
<url of Web>
日本での展開理由、2020年のMOJOのプランについてはこちら!>MOJO THINK links"
MOJO News,Pooja/Mihir/David,2020-4-17,FB/LI/IG,Global,MOJO Launches an official LINE.com account,,,, Insta : @badalsaboo  @martalozanop  @cyberporthkofficial @hongkongpolyu       Facebook: @badalsaboo  @mymagicstoryinternational @cyberporthkofficial  @martalozanop ,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #Line,MOJO has lauched an official Line account so you can connect with us at your finger tips.  Feel free to contact us anytime from anywhere through our Line account https://lin.ee/oebUkoN  Add us to your list for intersting and cool content by MOJO & MOJO Academy.,,,,,,
MOJO News,Pooja/Mihir/David,2020-4-20,FB/LI/IG,Global,Emerge@Japan,,,, Insta : @cyberporthkofficial @hksciencepark   @JETRO_info,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #startups #HKSTP #Emerge@japan #JETRO,"Following the success of KGAP+ Batch 1, MOJO is prepared to support its client at ATR to prepare for the New Batches in 2020. This year we will focus at bringing teams from HongKong to be a part of the Program. We are supported by HKSTP to help us find startups and companies in HongKong who would like to take their business to Japan. Emerge@Japan is an Online Video Submission Competition, submit your Companies Video Pitching about your brand, it's product and services. 20 teams will be shortlisted and will get an opportunity to be part of the program. So what are you waiting for? If you haven't already submitted your entries submit now, program entries ends soon. To register for the competition please head to the following link: https://mailchi.mp/bbd601421d10/emerge2japan 



To read more about the KGAP+ project headover to this link https://www.globaldigitalmojo.com/portfolio/kgap-global-startup-accelerator-for-japan-and-international-markets/ ",,,,,,
MOJO News,Pooja/Mihir/David,2020-4-22,FB/LI/IG,Global,MOJO supports business & acedamy by letting you stay safe at home.,,https://drive.google.com/drive/u/1/folders/16tuzmNqjxPKPVO695oew_aRFaO-SdIdu,, Insta : @badalsaboo @thegulabigirl @martalozanop @lolaloliitaaa @hongkongpolyu       Facebook: @badalsaboo  @mymagicstoryinternational @thegulabigirl @martalozanop @Lolaloliitaaa.love,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #together  #covid19,"In this current pandemic, MOJO understands the importance of staying home to be safe but MOJO also perceives this time as a great opportunity to work for your personal and business growth. Hence MOJO is virtually available for you 24/7 to help your business growth & MOJO Academy has online courses for you to help your personal growth too. To know more about us, head to the link https://www.globaldigitalmojo.com/   ",,,,,,
MOJO Think,Pooja/Mihir,Till 2020/4/21,Mojo Web,Global,Rise of E-Sports in the world ,,,https://drive.google.com/drive/u/1/folders/1IkrfgD-2df6W8e6Kn0IDZgqmAu59_iPI,,,"In this digital era, we have almost everything available digitally. we have seen many digital sports games available to us. In fact, the Taiwan government has considered E-Sport as a legitimate ""Sport"". Here is an article, about the Rise of E-Sports in the world and the latest Formula 1 case study. Read & download the complete article Below.",,,,,,
